eventID,occurrenceID,verbatimMeasurementType,measurementType,measurementValue,measurementUnit,measurementTypeID,measurementValueID,measurementUnitID,measurementRemarks
GU190706-CTD11-220_MiFish_S30,,filter_passive_active_0_1,Active or passive filtration approach,1,,https://github.com/FAIR-eDNA/FAIRe_checklist,,,Boolean: Whether water samples were collected using active (1) or passive (0) filtration approach.
GU190706-CTD11-220_MiFish_S30,,ctd_bottle_number,CTD bottle number,CTD11,,,,,
GU190706-CTD11-220_MiFish_S30,,chlorophyll,Chlorophyll fluorescence,0.038,micrograms per litre,http://vocab.nerc.ac.uk/collection/P01/current/CPHLMOD2/,,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,Collected by WetLabs WetStar Fluorometer
GU190706-CTD11-220_MiFish_S30,,filter_name,Commercial names and brand of filter,MilliporeSigma,,https://github.com/FAIR-eDNA/FAIRe_checklist,,,
GU190706-CTD11-220_MiFish_S30,,dna_cleanup_0_1,DNA cleanup,1,,https://github.com/FAIR-eDNA/FAIRe_checklist,,,"Boolean: Was the extracted DNA cleaned/purified? Yes = 1, No =0"
GU190706-CTD11-220_MiFish_S30,,dna_cleanup_method,DNA cleanup method,Zymo OneStep PCR Inhibitor Removal kit,,https://github.com/FAIR-eDNA/FAIRe_checklist,,,
GU190706-CTD11-220_MiFish_S30,,concentration_method,DNA concentration method,Qubit 4 Fluorometer (Thermo Fisher Scientific),,https://github.com/FAIR-eDNA/FAIRe_checklist,,,
GU190706-CTD11-220_MiFish_S30,,date_ext,Date of nucleic acid extraction,2019-10-28 00:00:00,ISO 8601,https://github.com/FAIR-eDNA/FAIRe_checklist,,https://vocab.nerc.ac.uk/collection/P06/current/TISO/,
GU190706-CTD11-220_MiFish_S30,,density,Density of the water column,1027.6571,kilograms per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/TOKGPR02/,,http://vocab.nerc.ac.uk/collection/P06/current/UKMC/,
GU190706-CTD11-220_MiFish_S30,,depth_category,Depth category of sample collection,Bottom,,,,,
GU190706-CTD11-220_MiFish_S30,,filter_diameter,Diameter of water filter,47,millimeters,http://vocab.nerc.ac.uk/collection/P01/current/DSAMPA01/,,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,
GU190706-CTD11-220_MiFish_S30,,diss_oxygen,Dissolved oxygen,4.397,mg/L,,,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,
GU190706-CTD11-220_MiFish_S30,,prepped_samp_store_dur,Duration prepared sample was stored prior to DNA extraction,P4M,ISO 8601,https://github.com/FAIR-eDNA/FAIRe_checklist,,https://vocab.nerc.ac.uk/collection/P06/current/TISO/,
GU190706-CTD11-220_MiFish_S30,,samp_store_dur,Duration sample was stored prior to DNA extraction,P19M/35M,ISO 8601,https://github.com/FAIR-eDNA/FAIRe_checklist,,https://vocab.nerc.ac.uk/collection/P06/current/TISO/,
