occurrenceID,eventID,basisOfRecord,verbatimIdentification,kingdom,phylum,class,order,family,genus,scientificName,taxonID,taxonRank,parentEventID,datasetID,license,institutionID,waterBody,occurrenceStatus,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,recordedBy,materialSampleID,eventDate,minimumDepthInMeters,maximumDepthInMeters,locality,decimalLatitude,decimalLongitude,geodeticDatum,identificationRemarks,associatedSequences
GU190706-CTD11-220_MiFish_S30_occ_18109634cc2f8e156e5402bf13cf4502,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,Animalia,Chordata,,Beloniformes,Exocoetidae,Cheilopogon,"Cheilopogon Lowe, 1841",gbif:2368477,genus,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,4,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_183bc18f3e5eac45c6dd248fb86d64bf,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus laevigatus,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Lagocephalus,"Lagocephalus laevigatus (Linnaeus, 1766)",gbif:2407750,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,5317,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_3c64823f9fe1b8e3dee560e7bb3b193c,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides aquilonaris,Animalia,Chordata,,Perciformes,Lutjanidae,Pristipomoides,"Pristipomoides aquilonaris (Goode & Bean, 1896)",gbif:2385178,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,3,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_781e1d0cf581569ca761dfb81438b698,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,,Myctophiformes,Myctophidae,Diaphus,"Diaphus dumerilii (Bleeker, 1856)",gbif:2406248,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,4276,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_87fc62ed809caa00b26b8cbf9255c7ac,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Animalia,Chordata,,Perciformes,Caproidae,Antigonia,"Antigonia capros Lowe, 1843",gbif:2389693,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,8277,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_8f9c2606f5bb5a4867a22ec20c3f7067,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus,Animalia,Chordata,,Perciformes,Trichiuridae,Benthodesmus,"Benthodesmus Goode & Bean, 1882",gbif:2389329,genus,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,3,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_94c9549b503d074ca52d17868303bb47,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys cornutus,Animalia,Chordata,,Pleuronectiformes,Paralichthyidae,Citharichthys,"Citharichthys cornutus (Günther, 1880)",gbif:2408713,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,8,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_99d918d2b66a9418e50eeed3572f4f47,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus,Animalia,Chordata,,Perciformes,Acropomatidae,Verilus,"Verilus Poey, 1860",gbif:2381536,genus,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,3575,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_bde24d05f796db0138c4320a0164cb16,GU190706-CTD11-220_MiFish_S30,MaterialSample,Bacteria,Bacteria,,,,,,Bacteria,gbif:3,kingdom,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,7,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
GU190706-CTD11-220_MiFish_S30_occ_ca6706a7649bd835555774cc496b645e,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus,Animalia,Chordata,,Anguilliformes,Congridae,Rhynchoconger,"Rhynchoconger flavus (Goode & Bean, 1896)",gbif:2403429,species,GU190706-CTD11-220,noaa-sefsc-gu1901,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://ror.org/0396y0w87,"Mexico, Gulf of",present,7606,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,-85.793,28.662,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom",https://www.ncbi.nlm.nih.gov/sra/SRX30428825 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51247861 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1322479
