occurrenceID,eventID,basisOfRecord,verbatimIdentification,kingdom,phylum,class,order,family,genus,scientificName,scientificNameID,taxonRank,parentEventID,datasetID,license,institutionID,occurrenceStatus,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,recordedBy,materialSampleID,eventDate,minimumDepthInMeters,maximumDepthInMeters,locality,decimalLatitude,decimalLongitude,geodeticDatum,identificationRemarks
GU190706-CTD11-220_MiFish_S30_occ_18109634cc2f8e156e5402bf13cf4502,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon,Animalia,Chordata,Teleostei,Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon,urn:lsid:marinespecies.org:taxname:125691,Genus,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,4,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_183bc18f3e5eac45c6dd248fb86d64bf,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus laevigatus,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus,Lagocephalus laevigatus,urn:lsid:marinespecies.org:taxname:158933,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,5317,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_3c64823f9fe1b8e3dee560e7bb3b193c,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides aquilonaris,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Pristipomoides,Pristipomoides aquilonaris,urn:lsid:marinespecies.org:taxname:159805,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,3,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_781e1d0cf581569ca761dfb81438b698,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,Diaphus dumerilii,urn:lsid:marinespecies.org:taxname:126590,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,4276,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_87fc62ed809caa00b26b8cbf9255c7ac,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Animalia,Chordata,Teleostei,Acanthuriformes,Antigoniidae,Antigonia,Antigonia capros,urn:lsid:marinespecies.org:taxname:127418,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,8277,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_8f9c2606f5bb5a4867a22ec20c3f7067,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,Benthodesmus,urn:lsid:marinespecies.org:taxname:126096,Genus,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,3,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_94c9549b503d074ca52d17868303bb47,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae;Citharichthys;Citharichthys cornutus,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys cornutus,urn:lsid:marinespecies.org:taxname:158792,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,8,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_99d918d2b66a9418e50eeed3572f4f47,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus,Animalia,Chordata,Teleostei,Acropomatiformes,Malakichthyidae,Verilus,Verilus,urn:lsid:marinespecies.org:taxname:271211,Genus,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,3575,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_bde24d05f796db0138c4320a0164cb16,GU190706-CTD11-220_MiFish_S30,MaterialSample,Bacteria,Bacteria,,,,,,Bacteria,urn:lsid:marinespecies.org:taxname:6,Kingdom,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,7,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
GU190706-CTD11-220_MiFish_S30_occ_ca6706a7649bd835555774cc496b645e,GU190706-CTD11-220_MiFish_S30,MaterialSample,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Rhynchoconger,Rhynchoconger flavus,urn:lsid:marinespecies.org:taxname:158571,Species,GU190706-CTD11-220,noaa-sefsc-gu1901,https://creativecommons.org/publicdomain/zero/1.0/,https://ror.org/0396y0w87,present,7606,DNA sequence reads,278226,DNA sequence reads,Lynsey Wilcox Talbot | Katherine Silliman,GU190706-CTD11-220,2019-07-06,220,220,USA: Gulf of Mexico,28.662,-85.793,WGS84,"qiime2-2023.5; naive-bayes classifier; scikit-learn 0.24.1, confidence: unknown confidence, against reference database: custom"
