verbatimIdentification,cleanedTaxonomy,ambiguous,kingdom,phylum,class,order,family,genus,scientificName,scientificNameID,taxonRank,match_type_debug,nameAccordingTo
Archaea,Archaea,False,Archaea,,,,,,Archaea,urn:lsid:marinespecies.org:taxname:8,Kingdom,Success_Batch_Archaea,WoRMS
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Aenigmarchaeales;Aenigmarchaeales;uncultured_archaeon,Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Aenigmarchaeales;Aenigmarchaeales,False,Archaea,,,,,,Archaea,urn:lsid:marinespecies.org:taxname:8,Kingdom,Success_Batch_Archaea,WoRMS
Archaea;Aenigmarchaeota;Deep_Sea_Euryarchaeotic_Group(DSEG);Deep_Sea_Euryarchaeotic_Group(DSEG);Deep_Sea_Euryarchaeotic_Group(DSEG);Deep_Sea_Euryarchaeotic_Group(DSEG),Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);Deep Sea Euryarchaeotic Group(DSEG);Deep Sea Euryarchaeotic Group(DSEG);Deep Sea Euryarchaeotic Group(DSEG),False,Archaea,,,,,,Archaea,urn:lsid:marinespecies.org:taxname:8,Kingdom,Success_Batch_Archaea,WoRMS
Archaea;Aenigmarchaeota;Deep_Sea_Euryarchaeotic_Group(DSEG);Deep_Sea_Euryarchaeotic_Group(DSEG);Deep_Sea_Euryarchaeotic_Group(DSEG);Deep_Sea_Euryarchaeotic_Group(DSEG);uncultured_archaeon,Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);Deep Sea Euryarchaeotic Group(DSEG);Deep Sea Euryarchaeotic Group(DSEG);Deep Sea Euryarchaeotic Group(DSEG),False,Archaea,,,,,,Archaea,urn:lsid:marinespecies.org:taxname:8,Kingdom,Success_Batch_Archaea,WoRMS
Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus_Altiarchaeum;uncultured_archaeon,Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum,False,Archaea,,,,,,Archaea,urn:lsid:marinespecies.org:taxname:8,Kingdom,Success_Batch_Archaea,WoRMS
Archaea;Asgardarchaeota;Heimdallarchaeia;Heimdallarchaeia;Heimdallarchaeia;Heimdallarchaeia;uncultured_archaeon,Archaea;Asgardarchaeota;Heimdallarchaeia;Heimdallarchaeia;Heimdallarchaeia;Heimdallarchaeia,False,Archaea,,,,,,Archaea,urn:lsid:marinespecies.org:taxname:8,Kingdom,Success_Batch_Archaea,WoRMS
Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia,Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;marine_metagenome,Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;uncultured_archaeon,Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;uncultured_crenarchaeote,Archaea;Crenarchaeota;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia;Bathyarchaeia,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria,Archaea;Crenarchaeota;Nitrososphaeria,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae;Geothermarchaeaceae;uncultured_marine,Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae;Geothermarchaeaceae,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Group_1.1c;Group_1.1c;Group_1.1c;uncultured_marine,Archaea;Crenarchaeota;Nitrososphaeria;Group .c;Group .c;Group .c,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Marine_Benthic_Group_A;Marine_Benthic_Group_A;Marine_Benthic_Group_A,Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;Marine Benthic Group A;Marine Benthic Group A,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Marine_Benthic_Group_A;Marine_Benthic_Group_A;Marine_Benthic_Group_A;uncultured_archaeon,Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;Marine Benthic Group A;Marine Benthic Group A,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Marine_Benthic_Group_A;Marine_Benthic_Group_A;Marine_Benthic_Group_A;uncultured_crenarchaeote,Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;Marine Benthic Group A;Marine Benthic Group A,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Marine_Benthic_Group_A;Marine_Benthic_Group_A;Marine_Benthic_Group_A;uncultured_marine,Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;Marine Benthic Group A;Marine Benthic Group A,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Marine_Benthic_Group_A;Marine_Benthic_Group_A;Marine_Benthic_Group_A;uncultured_thaumarchaeote,Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;Marine Benthic Group A;Marine Benthic Group A,False,Archaea,Crenarchaeota,,,,,Crenarchaeota,urn:lsid:marinespecies.org:taxname:559440,Phylum,Success_Batch_Crenarchaeota,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae,False,Archaea,Thaumarchaeota,Thaumarchaeota incertae sedis,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae,urn:lsid:marinespecies.org:taxname:559432,Family,Success_Batch_Nitrosopumilaceae,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus_Nitrosopelagicus,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus,False,Archaea,Thaumarchaeota,Thaumarchaeota incertae sedis,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae,urn:lsid:marinespecies.org:taxname:559432,Family,Success_Batch_Nitrosopumilaceae,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus_Nitrosopelagicus;Candidatus_Nitrosopelagicus,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus,False,Archaea,Thaumarchaeota,Thaumarchaeota incertae sedis,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae,urn:lsid:marinespecies.org:taxname:559432,Family,Success_Batch_Nitrosopumilaceae,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus_Nitrosopelagicus;archaeon_enrichment,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus,False,Archaea,Thaumarchaeota,Thaumarchaeota incertae sedis,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae,urn:lsid:marinespecies.org:taxname:559432,Family,Success_Batch_Nitrosopumilaceae,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus_Nitrosopelagicus;marine_metagenome,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus,False,Archaea,Thaumarchaeota,Thaumarchaeota incertae sedis,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae,urn:lsid:marinespecies.org:taxname:559432,Family,Success_Batch_Nitrosopumilaceae,WoRMS
Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus_Nitrosopelagicus;uncultured_archaeon,Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus,False,Archaea,Thaumarchaeota,Thaumarchaeota incertae sedis,Nitrosopumilales,Nitrosopumilaceae,,Nitrosopumilaceae,urn:lsid:marinespecies.org:taxname:559432,Family,Success_Batch_Nitrosopumilaceae,WoRMS
