verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Bacteria,Bacteria,True,Bacteria,97,kingdom,gbif:3,Bacteria,,,,,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri,Eukaryota;Chordata;Actinopteri,True,Chordata,97,phylum,gbif:44,Animalia,Chordata,,,,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,True,"Antigonia capros Lowe, 1843",100,species,gbif:2389693,Animalia,Chordata,,Perciformes,Caproidae,Antigonia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,False,"Antigonia capros Lowe, 1843",99,species,gbif:2389693,Animalia,Chordata,,Perciformes,Caproidae,Antigonia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae,True,Acropomatidae,97,family,gbif:8486,Animalia,Chordata,,Perciformes,Acropomatidae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops bellus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops bellus,True,"Synagrops bellus (Goode & Bean, 1896)",100,species,gbif:2381532,Animalia,Chordata,,Perciformes,Acropomatidae,Synagrops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,True,"Synagrops spinosa Schultz, 1940",100,species,gbif:2381525,Animalia,Chordata,,Perciformes,Acropomatidae,Parascombrops,GBIF_FUZZY,GBIF
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus,True,"Verilus Poey, 1860",97,genus,gbif:2381536,Animalia,Chordata,,Perciformes,Acropomatidae,Verilus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes,Eukaryota;Chordata;Actinopteri;Anguilliformes,True,Anguilliformes,97,order,gbif:495,Animalia,Chordata,,Anguilliformes,,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Chlopsidae;Chilorhinus;Chilorhinus suensonii,Eukaryota;Chordata;Actinopteri;Anguilliformes;Chlopsidae;Chilorhinus;Chilorhinus suensonii,True,"Chilorhinus suensonii Lütken, 1852",100,species,gbif:2405420,Animalia,Chordata,,Anguilliformes,Chlopsidae,Chilorhinus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Chlopsidae;Chilorhinus;Chilorhinus suensonii,Eukaryota;Chordata;Actinopteri;Anguilliformes;Chlopsidae;Chilorhinus;Chilorhinus suensonii,False,"Chilorhinus suensonii Lütken, 1852",99,species,gbif:2405420,Animalia,Chordata,,Anguilliformes,Chlopsidae,Chilorhinus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma balearicum,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma balearicum,True,"Ariosoma balearicum (Delaroche, 1809)",100,species,gbif:2403180,Animalia,Chordata,,Anguilliformes,Congridae,Ariosoma,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma balearicum,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma balearicum,False,"Ariosoma balearicum (Delaroche, 1809)",99,species,gbif:2403180,Animalia,Chordata,,Anguilliformes,Congridae,Ariosoma,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Paraconger;Paraconger caudilimbatus,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Paraconger;Paraconger caudilimbatus,True,"Paraconger caudilimbatus (Poey, 1867)",100,species,gbif:2403400,Animalia,Chordata,,Anguilliformes,Congridae,Paraconger,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Paraconger;Paraconger caudilimbatus,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Paraconger;Paraconger caudilimbatus,False,"Paraconger caudilimbatus (Poey, 1867)",99,species,gbif:2403400,Animalia,Chordata,,Anguilliformes,Congridae,Paraconger,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus,Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus,True,"Rhynchoconger flavus (Goode & Bean, 1896)",100,species,gbif:2403429,Animalia,Chordata,,Anguilliformes,Congridae,Rhynchoconger,GBIF_EXACT,GBIF
