verbatimIdentification,cleanedTaxonomy,ambiguous,selected_match,name_change,scientificName,taxonRank,scientificNameID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Bacteria,Bacteria,False,True,False,Bacteria,Kingdom,urn:lsid:marinespecies.org:taxname:6,Bacteria,,,,,,Success_Batch_Bacteria,WoRMS
Eukaryota;Chordata;Actinopteri,Eukaryota;Chordata;Actinopteri,False,True,False,Actinopteri,Superclass,urn:lsid:marinespecies.org:taxname:843664,Animalia,Chordata,,,,,Success_Batch_Actinopteri,WoRMS
Eukaryota;Chordata;Actinopteri,Eukaryota;Chordata;Actinopteri,False,False,False,Actinopteri,Superclass,urn:lsid:marinespecies.org:taxname:843664,Animalia,Chordata,,,,,Success_Batch_Actinopteri,WoRMS
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,False,True,False,Antigonia capros,Species,urn:lsid:marinespecies.org:taxname:127418,Animalia,Chordata,Teleostei,Acanthuriformes,Antigoniidae,Antigonia,Success_Batch_Antigonia capros,WoRMS
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,Eukaryota;Chordata;Actinopteri;Acanthuriformes;Antigoniidae;Antigonia;Antigonia capros,False,False,False,Antigonia capros,Species,urn:lsid:marinespecies.org:taxname:127418,Animalia,Chordata,Teleostei,Acanthuriformes,Antigoniidae,Antigonia,Success_Batch_Antigonia capros,WoRMS
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae,False,True,False,Acropomatidae,Family,urn:lsid:marinespecies.org:taxname:151434,Animalia,Chordata,Teleostei,Acropomatiformes,Acropomatidae,,Success_Batch_Acropomatidae,WoRMS
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops bellus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops bellus,False,True,False,Synagrops bellus,Species,urn:lsid:marinespecies.org:taxname:159584,Animalia,Chordata,Teleostei,Acropomatiformes,Synagropidae,Synagrops,Success_Batch_Synagrops bellus,WoRMS
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,False,True,True,Parascombrops spinosus,Species,urn:lsid:marinespecies.org:taxname:1486846,Animalia,Chordata,Teleostei,Acropomatiformes,Synagropidae,Parascombrops,Success_Batch_Synagrops spinosus,WoRMS
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus,False,False,True,Parascombrops spinosus,Species,urn:lsid:marinespecies.org:taxname:1486846,Animalia,Chordata,Teleostei,Acropomatiformes,Synagropidae,Parascombrops,Success_Batch_Synagrops spinosus,WoRMS
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus,Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus,False,True,False,Verilus,Genus,urn:lsid:marinespecies.org:taxname:271211,Animalia,Chordata,Teleostei,Acropomatiformes,Malakichthyidae,Verilus,Success_Batch_Verilus,WoRMS
