verbatimIdentification	scientificName	taxonID	kingdom	phylum	class	order	family	genus	taxonRank	confidence	nameAccordingTo	match_type_debug	cleanedTaxonomy	ambiguous
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani Parin & Kobyliansky, 1993	gbif:2347496	Animalia	Chordata		Stomiiformes	Sternoptychidae	Maurolicus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani Parin & Kobyliansky, 1993	gbif:2347496	Animalia	Chordata		Stomiiformes	Sternoptychidae	Maurolicus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani Parin & Kobyliansky, 1993	gbif:2347496	Animalia	Chordata		Stomiiformes	Sternoptychidae	Maurolicus	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	True
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii (Bleeker, 1856)	gbif:2406248	Animalia	Chordata		Myctophiformes	Myctophidae	Diaphus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	True
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii (Bleeker, 1856)	gbif:2406248	Animalia	Chordata		Myctophiformes	Myctophidae	Diaphus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	True
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii (Bleeker, 1856)	gbif:2406248	Animalia	Chordata		Myctophiformes	Myctophidae	Diaphus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	True
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata Goode & Bean, 1896	gbif:5214449	Animalia	Chordata		Osmeriformes	Argentinidae	Argentina	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	True
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata Goode & Bean, 1896	gbif:5214449	Animalia	Chordata		Osmeriformes	Argentinidae	Argentina	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	True
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata Goode & Bean, 1896	gbif:5214449	Animalia	Chordata		Osmeriformes	Argentinidae	Argentina	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	Heterophotus ophistoma Regan & Trewavas, 1929	gbif:2347368	Animalia	Chordata		Stomiiformes	Stomiidae	Heterophotus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	True
