verbatimIdentification	scientificName	scientificNameID	taxonRank	kingdom	phylum	class	order	family	genus	species	nameAccordingTo	match_type_debug	cleanedTaxonomy	ambiguous
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	Parascombrops spinosus	urn:lsid:marinespecies.org:taxname:1486846	Species	Animalia	Chordata	Teleostei	Acropomatiformes	Acropomatidae	Parascombrops		WoRMS	Success_Batch_Synagrops spinosus	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	False
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani	urn:lsid:marinespecies.org:taxname:158838	Species	Animalia	Chordata	Teleostei	Stomiiformes	Sternoptychidae	Maurolicus		WoRMS	Success_Batch_Maurolicus weitzmani	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	False
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii	urn:lsid:marinespecies.org:taxname:126590	Species	Animalia	Chordata	Teleostei	Myctophiformes	Myctophidae	Diaphus		WoRMS	Success_Batch_Diaphus dumerilii	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	False
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Theninae	urn:lsid:marinespecies.org:taxname:382775	Subfamily	Animalia	Arthropoda	Malacostraca	Decapoda	Scyllaridae			WoRMS	Success_Batch_Thunnini	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	False
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata	urn:lsid:marinespecies.org:taxname:158718	Species	Animalia	Chordata	Teleostei	Argentiniformes	Argentinidae	Argentina		WoRMS	Success_Batch_Argentina striata	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	False
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	Heterophotus ophistoma	urn:lsid:marinespecies.org:taxname:158733	Species	Animalia	Chordata	Teleostei	Stomiiformes	Stomiidae	Heterophotus		WoRMS	Success_Batch_Heterophotus ophistoma	Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	False
Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	Ariomma bondi	urn:lsid:marinespecies.org:taxname:159592	Species	Animalia	Chordata	Teleostei	Scombriformes	Ariommatidae	Ariomma		WoRMS	Success_Batch_Ariomma bondi	Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	False
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	Pristipomoides	urn:lsid:marinespecies.org:taxname:159804	Genus	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Lutjanidae	Pristipomoides		WoRMS	Success_Batch_Pristipomoides	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	False
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	Hoplunnis tenuis	urn:lsid:marinespecies.org:taxname:158591	Species	Animalia	Chordata	Teleostei	Anguilliformes	Nettastomatidae	Hoplunnis		WoRMS	Success_Batch_Hoplunnis tenuis	Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	False
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	Verilus	urn:lsid:marinespecies.org:taxname:271211	Genus	Animalia	Chordata	Teleostei	Acropomatiformes	Acropomatidae	Verilus		WoRMS	Success_Batch_Verilus	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	False
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	Rhynchoconger flavus	urn:lsid:marinespecies.org:taxname:158571	Species	Animalia	Chordata	Teleostei	Anguilliformes	Congridae	Rhynchoconger		WoRMS	Success_Batch_Rhynchoconger flavus	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	False
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	Tursiops truncatus	urn:lsid:marinespecies.org:taxname:137111	Species	Animalia	Chordata	Mammalia	Cetartiodactyla	Delphinidae	Tursiops		WoRMS	Success_Batch_Tursiops truncatus	Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	False
Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	Neoepinnula americana	urn:lsid:marinespecies.org:taxname:159712	Species	Animalia	Chordata	Teleostei	Scombriformes	Gempylidae	Neoepinnula		WoRMS	Success_Batch_Neoepinnula americana	Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	False
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	Scombridae	urn:lsid:marinespecies.org:taxname:125559	Family	Animalia	Chordata	Teleostei	Scombriformes	Scombridae			WoRMS	Success_Batch_Scombridae	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	False
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	Family	Animalia	Chordata	Teleostei	Aulopiformes	Paralepididae			WoRMS	Success_Batch_Paralepididae	Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	False
Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	Bembrops anatirostris	urn:lsid:marinespecies.org:taxname:159842	Species	Animalia	Chordata	Teleostei	Perciformes	Bembropidae	Bembrops		WoRMS	Success_Batch_Bembrops anatirostris	Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	False
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	Lepidopus altifrons	urn:lsid:marinespecies.org:taxname:159367	Species	Animalia	Chordata	Teleostei	Scombriformes	Trichiuridae	Lepidopus		WoRMS	Success_Batch_Lepidopus altifrons	Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	False
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	Caranx crysos	urn:lsid:marinespecies.org:taxname:126802	Species	Animalia	Chordata	Teleostei	Carangiformes	Carangidae	Caranx		WoRMS	Success_Batch_Caranx crysos	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	False
