verbatimMeasurementType	measurementType	measurementValue	measurementUnit	measurementTypeID	measurementValueID	measurementUnitID	measurementRemarks
short_name	An identifier to specify how the FAIRe sheet should be split up into multiple sub-projects. Use on projects where you have multiple expeditions or cruises in a single FAIRe sheet (a single project_id on the Ocean DNA Explorer) that you want to publish as SEPERATE datasets on OBIS (with a parent project). edna2obis can (optionally) split the FAIRe sheet into multiple files by using short_name						
assay_name	A brief, concise identifier for assay with no spaces or special characters, ensuring machine readability. This ID will be used in file names as 'assay_name'.	Eukarya-18S-V4-Stoeck-Piredda | Eukarya-18S-V9-Lane-Medlin | Fish-12S-MiFish-U-Miya | Metazoa-COI-Leray-Geller					
samp_category	A type/category of a sample. 'Sample" includes biological and technical replicates. If negative or positive control was selected, provide further information under the terms fill neg_cont_type and pos_cont_type.			https://github.com/FAIR-eDNA/FAIRe_checklist			
verbatimEventTime	Sample collection time before formatting to ISO 8601, or at the local time (if eventDate time samp has been converted to UTC time)			https://github.com/FAIR-eDNA/FAIRe_checklist			
expedition_id	Identifier for the cruise or expedition, with year in parentheses.						
expeditionName	The official name or title of the research expedition or cruise on which the sample or observation was collected.						
expeditionURL	A URL linking to a web resource describing the expedition, such as a cruise page on the CCHDO, OER, or institutional website.						
nceiDataLandingURL	A URL pointing to the NCEI data landing page where archived data products from the expedition can be discovered and accessed.						
nceiDataArchiveURL	A URL pointing directly to the archived data package or accession at NCEI.						
expeditionReportName	The title of the official cruise or expedition report.						
expeditionReportURL	A URL linking to the official cruise or expedition report document.						
expeditionStartDate	The date on which the expedition departed or sampling operations commenced.						
expeditionEndDate	The date on which the expedition concluded or sampling operations ceased.						
expeditionLocation	A general description of the geographic region or ocean area covered by the expedition.						
geomeName	The name of the project or expedition record as registered in the Genomic Observatories Meta-Database (GEOME; geome-db.org), typically matching the expedition or dataset identifier used at time of submission.						
geomeURL	A URL linking to the specific record in the Genomic Observatories Meta-Database (GEOME) for the associated expedition or dataset, resolving via an ARK persistent identifier.						
geo_loc_name	The geographical origin of the sample as defined by the country or sea name followed by regions and localities. Country or sea names should be chosen from the INSDC Geographic Location Name List INSDC country list (http://insdc.org/country.html). Fixed format following <country or sea names>:<region>,<locality>. E.g., "USA: Maryland, Bethesda" , "Atlantic Ocean:Charlie Gibbs Fracture Zone"			https://w3id.org/mixs/0000010			
habitat_natural_artificial_0_1	Whether samples were taken from natural (0) or artificial (1) habitat. The examples of artificial habitat include mesocosm tank in lab, enclosure in zoo etc., including semi-natural systems. The definition of natural habitat is locations uncontrolled by researchers			https://github.com/FAIR-eDNA/FAIRe_checklist			
samp_store_sol	Solution within which the sample was stored. Note: If a sample was processed before DNA extraction (e.g., filtration, homogenisation, subsampling), enter the storage solution before the process here, and the storage solution of the processed sample under the term prepped_samp_store_sol.			https://w3id.org/mixs/0001317			
tot_depth_water_col	Measurement of total depth of water column. For example, if a sea surface water sample was collected at a sampling site where the water depth was 15m, enter 15 here and 0 under the terms minimumDepthInMeters and maximumDepthInMeters. Unit = meter		meter	https://w3id.org/mixs/0000634		http://vocab.nerc.ac.uk/collection/P06/current/ULAA/	
temp	Temperature of the sample at the time of sampling in degree Celsius		degree Celsius	https://w3id.org/mixs/0000113		http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	
salinity	The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater. Unit = practical salinity unit (psu)		practical salinity unit (psu)	https://w3id.org/mixs/0000183		http://vocab.nerc.ac.uk/collection/P06/current/PSUX/	
diss_oxygen	Concentration of dissolved oxygen		mg/L	https://w3id.org/mixs/0000119		http://vocab.nerc.ac.uk/collection/P06/current/UMGL/	
serial_number	Specific to AOML Omics, serial number associated with the sample. 						
ctd_cast_number	Number of CTD cast in a cruise						
ctd_bottle_number	This column is important if you have replicate subsamples taken from a single water sample, so as to link those subsamples together. Should correspond to a specific niskin collection event (specific bottle at specific time and specific depth), not just the niskin_ID or rosette position. When matching with OAP data, this is the Sample_ID.						
organism	Often "seawater metagenome" or "sediment metagenome". Use "synthetic metagenome" for mock communities. The most descriptive organism name for this sample (to the species, if possible). It is OK to submit an organism name that is not in our database. In the case of a new species, provide the desired organism name, and our taxonomists may assign a provisional taxID. In the case of unidentified species, choose the appropriate Genus and include 'sp.', e.g., "Escherichia sp.". When sequencing a genome from a non-metagenomic source, include a strain or isolate name too, e.g., "Pseudomonas sp. UK4". For environmental or microbiome samples, used the metagenomes taxonomy (https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Undef&id=408169). More information about providing a valid organism, including new species, metagenomes (microbiomes) and metagenome-assembled genomes, see https://www.ncbi.nlm.nih.gov/biosample/docs/organism/.						
samp_collect_notes	Additional notes taken during the sampling event.						
bcid	A Biodiversity Commons Identifier: a persistent, globally unique identifier linking a record to its source dataset and entry in a biodiversity data aggregator such as iDigBio.						
microHabitat	A description of the fine-scale habitat or microenvironment from which the sample was collected (e.g., Deep Scattering Layer, Benthic Boundary Layer).						
lib_id	An identifier of a library (an amplicon of a sample with unique MIDs)			https://github.com/FAIR-eDNA/FAIRe_checklist			
seq_run_id	A brief, concise identifier for sequencing run with no spaces or special characters, ensuring machine readability. This ID will be used in file names as 'seq_run_id'.			https://github.com/FAIR-eDNA/FAIRe_checklist			
filename	A file name of raw sequencing data. If paired end, fill filename2 for the reverse read			https://github.com/FAIR-eDNA/FAIRe_checklist			
filename2	A raw sequencing data file name of reverse reads if lib_layout = paired end			https://github.com/FAIR-eDNA/FAIRe_checklist			
checksum_filename	The checksum of the forward sequence reads file (filename), used to verify the integrity and identity of the corresponding data file			https://github.com/FAIR-eDNA/FAIRe_checklist			
checksum_filename2	The checksum of the reverse sequence reads file (filename2), used to verify the integrity and identity of the corresponding data file			https://github.com/FAIR-eDNA/FAIRe_checklist			
input_read_count	The total number of raw sequence reads for each sample. Unit = reads		reads	https://w3id.org/nmdc/input_read_count			
